#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_16_hCoV-19/Finland/THL-06582/2023|EPI_ISL_18166672|2023-08-15_hCoV-19/Aruba/AW-RIVM-11598/2021|EPI_ISL_1014623|2021-01-28_X0	(0,405)	(23854,23948)	hCoV-19/Finland/THL-06582/2023|EPI_ISL_18166672|2023-08-15	y	34	hCoV-19/Aruba/AW-RIVM-11598/2021|EPI_ISL_1014623|2021-01-28	y	76	10	10	0
RECOMB_1_5_hCoV-19/Japan/PG-154604/2021|EPI_ISL_7089399|2021-03-04_hCoV-19/Vietnam/HN_108.04/2021|EPI_ISL_7079813|2021-11-27_X0	(0,241)	(17551,18877)	hCoV-19/Japan/PG-154604/2021|EPI_ISL_7089399|2021-03-04	y	28	hCoV-19/Vietnam/HN_108.04/2021|EPI_ISL_7079813|2021-11-27	y	14	5	5	1
RECOMB_1_15_hCoV-19/Shanghai/SCDC-XG11-15177/2023|EPI_ISL_18634040|2023-11-02_hCoV-19/Croatia/IGA-23-86470/2020|EPI_ISL_1167043|2020-11-12_X0	(0,405)	(13627,15451)	hCoV-19/Shanghai/SCDC-XG11-15177/2023|EPI_ISL_18634040|2023-11-02	y	85	hCoV-19/Croatia/IGA-23-86470/2020|EPI_ISL_1167043|2020-11-12	y	22	5	5	0
RECOMB_1_15_hCoV-19/Shanghai/SCDC-XG11-15177/2023|EPI_ISL_18634040|2023-11-02_hCoV-19/Croatia/IGA-23-86470/2020|EPI_ISL_1167043|2020-11-12_X0	(0,405)	(14408,15451)	hCoV-19/Shanghai/SCDC-XG11-15177/2023|EPI_ISL_18634040|2023-11-02	y	85	hCoV-19/Croatia/IGA-23-86470/2020|EPI_ISL_1167043|2020-11-12	y	22	5	5	0
RECOMB_1_1_hCoV-19/Greece/NPHO-ILI_3986/2023|EPI_ISL_18315187|2023-08-29_hCoV-19/Ireland/TA-NVRL-S22IRL00367450/2022|EPI_ISL_13951006|2022-06-20_X0	(0,405)	(18703,19326)	hCoV-19/Greece/NPHO-ILI_3986/2023|EPI_ISL_18315187|2023-08-29	y	29	hCoV-19/Ireland/TA-NVRL-S22IRL00367450/2022|EPI_ISL_13951006|2022-06-20	y	18	13	13	0
RECOMB_1_0_hCoV-19/India/GJ-INSACOG-GBRC13328/2023|EPI_ISL_17731690|2023-04-26_hCoV-19/India/TG-RFCH00927_CIB3239/2021|EPI_ISL_6877957|2021-02-12_X0	(0,405)	(10029,10198)	hCoV-19/India/GJ-INSACOG-GBRC13328/2023|EPI_ISL_17731690|2023-04-26	y	96	hCoV-19/India/TG-RFCH00927_CIB3239/2021|EPI_ISL_6877957|2021-02-12	y	17	16	16	0
RECOMB_1_13_hCoV-19/Yunnan/YNCDC-0558/2024|EPI_ISL_19241996|2024-03-25_hCoV-19/Ireland/MH-NVRL-76IRL26957/2020|EPI_ISL_639842|2020-10-18_X0	(0,241)	(11042,11727)	hCoV-19/Yunnan/YNCDC-0558/2024|EPI_ISL_19241996|2024-03-25	y	103	hCoV-19/Ireland/MH-NVRL-76IRL26957/2020|EPI_ISL_639842|2020-10-18	y	25	13	13	1
RECOMB_1_18_hCoV-19/India/DL-69779-CSIR-IGIB/2020|EPI_ISL_636749|2020-08-16_hCoV-19/Shanxi/HCDC-SZ036/2023|EPI_ISL_17980924|2023-06-20_X0	(0,204)	(23854,23948)	hCoV-19/India/DL-69779-CSIR-IGIB/2020|EPI_ISL_636749|2020-08-16	y	25	hCoV-19/Shanxi/HCDC-SZ036/2023|EPI_ISL_17980924|2023-06-20	y	71	10	10	1
RECOMB_1_18_hCoV-19/India/DL-69779-CSIR-IGIB/2020|EPI_ISL_636749|2020-08-16_hCoV-19/Shanxi/HCDC-SZ036/2023|EPI_ISL_17980924|2023-06-20_X0	(23604,23854)	(29510,GENOME_SIZE)	hCoV-19/Shanxi/HCDC-SZ036/2023|EPI_ISL_17980924|2023-06-20	y	71	hCoV-19/India/DL-69779-CSIR-IGIB/2020|EPI_ISL_636749|2020-08-16	y	25	10	10	1
RECOMB_1_3_hCoV-19/Guadeloupe/IPP02972/2021|EPI_ISL_1013216|2021-01-28_hCoV-19/India/GJ-GBRC251b/2020|EPI_ISL_483836|2020-06-12_X0	(0,913)	(27972,28048)	hCoV-19/Guadeloupe/IPP02972/2021|EPI_ISL_1013216|2021-01-28	y	10	hCoV-19/India/GJ-GBRC251b/2020|EPI_ISL_483836|2020-06-12	y	22	5	5	0
