#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_2_16_hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16_hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07_X0	(22942,22992)	(28271,28363)	hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07	y	55	hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16	y	21	20	20	0
RECOMB_2_16_hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16_hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07_X0	(22942,22992)	(28311,28363)	hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07	y	55	hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16	y	21	20	20	0
RECOMB_2_16_hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16_hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07_X0	(22942,22992)	(28297,28363)	hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07	y	55	hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16	y	21	20	20	0
RECOMB_2_16_hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16_hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07_X0	(22994,23005)	(28311,28363)	hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07	y	55	hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16	y	21	20	20	0
RECOMB_2_16_hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16_hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07_X0	(22994,23005)	(28297,28363)	hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07	y	55	hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16	y	21	20	20	0
RECOMB_2_16_hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16_hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07_X0	(22994,23005)	(28271,28363)	hCoV-19/Sichuan/BZCDC-0175/2024|EPI_ISL_19229969|2024-05-07	y	55	hCoV-19/Yunnan/YNCDC-3408/2023|EPI_ISL_18602974|2023-11-16	y	21	20	20	0
RECOMB_2_5_hCoV-19/Hubei/HCDC-YC7472/2024|EPI_ISL_19529658|2024-10-14_hCoV-19/Moldova/Nr_26769/2023|EPI_ISL_17015358|2023-02-02_X0	(12924,17124)	(24424,24990)	hCoV-19/Moldova/Nr_26769/2023|EPI_ISL_17015358|2023-02-02	y	22	hCoV-19/Hubei/HCDC-YC7472/2024|EPI_ISL_19529658|2024-10-14	y	41	21	21	0
RECOMB_2_5_hCoV-19/Hubei/HCDC-YC7472/2024|EPI_ISL_19529658|2024-10-14_hCoV-19/Moldova/Nr_26769/2023|EPI_ISL_17015358|2023-02-02_X0	(12924,17124)	(24469,24990)	hCoV-19/Moldova/Nr_26769/2023|EPI_ISL_17015358|2023-02-02	y	22	hCoV-19/Hubei/HCDC-YC7472/2024|EPI_ISL_19529658|2024-10-14	y	41	21	21	0
RECOMB_2_15_hCoV-19/Pakistan/NIH-B134-S10/2021|EPI_ISL_17814482|2021-10-06_hCoV-19/India/GJ-INSACOG-GBRC14177/2024|EPI_ISL_19363900|2024-06-01_X0	(4651,5581)	(23948,24378)	hCoV-19/India/GJ-INSACOG-GBRC14177/2024|EPI_ISL_19363900|2024-06-01	y	52	hCoV-19/Pakistan/NIH-B134-S10/2021|EPI_ISL_17814482|2021-10-06	y	96	34	34	0
RECOMB_2_1_hCoV-19/Heilongjiang/HLJCDC-1060/2024|EPI_ISL_19211770|2024-05-08_hCoV-19/Bermuda/182396/2023|EPI_ISL_18340717|2023-03-29_X0	(897,4657)	(22895,22910)	hCoV-19/Bermuda/182396/2023|EPI_ISL_18340717|2023-03-29	y	30	hCoV-19/Heilongjiang/HLJCDC-1060/2024|EPI_ISL_19211770|2024-05-08	y	19	19	19	0
