#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_2_hCoV-19/South_Korea/KDCA195554/2022|EPI_ISL_16600103|2022-12-29_hCoV-19/Indonesia/JK-NIHRD-MI.22.01502/2022|EPI_ISL_9179466|2022-01-06_X0	(0,670)	(14408,15240)	hCoV-19/South_Korea/KDCA195554/2022|EPI_ISL_16600103|2022-12-29	y	47	hCoV-19/Indonesia/JK-NIHRD-MI.22.01502/2022|EPI_ISL_9179466|2022-01-06	y	25	17	17	1
RECOMB_1_16_hCoV-19/North_Macedonia/IPH-MKD-5011/2022|EPI_ISL_15603314|2022-09-29_hCoV-19/India/MH-ICMR-NIV-G-14693/2023|EPI_ISL_18248361|2023-08-31_X0	(0,241)	(26529,26858)	hCoV-19/North_Macedonia/IPH-MKD-5011/2022|EPI_ISL_15603314|2022-09-29	y	16	hCoV-19/India/MH-ICMR-NIV-G-14693/2023|EPI_ISL_18248361|2023-08-31	y	46	12	12	1
RECOMB_1_16_hCoV-19/North_Macedonia/IPH-MKD-5011/2022|EPI_ISL_15603314|2022-09-29_hCoV-19/India/MH-ICMR-NIV-G-14693/2023|EPI_ISL_18248361|2023-08-31_X0	(0,241)	(26577,26858)	hCoV-19/North_Macedonia/IPH-MKD-5011/2022|EPI_ISL_15603314|2022-09-29	y	16	hCoV-19/India/MH-ICMR-NIV-G-14693/2023|EPI_ISL_18248361|2023-08-31	y	46	12	12	1
RECOMB_1_16_hCoV-19/North_Macedonia/IPH-MKD-5011/2022|EPI_ISL_15603314|2022-09-29_hCoV-19/India/MH-ICMR-NIV-G-14693/2023|EPI_ISL_18248361|2023-08-31_X0	(0,241)	(26709,26858)	hCoV-19/North_Macedonia/IPH-MKD-5011/2022|EPI_ISL_15603314|2022-09-29	y	16	hCoV-19/India/MH-ICMR-NIV-G-14693/2023|EPI_ISL_18248361|2023-08-31	y	46	12	12	1
RECOMB_1_5_hCoV-19/India/MH-IGIB-Sample210/2021|EPI_ISL_4127412|2021-04-23_hCoV-19/Japan/TKYmbc37771/2023|EPI_ISL_17780155|2023-05-17_X0	(0,210)	(15451,15714)	hCoV-19/India/MH-IGIB-Sample210/2021|EPI_ISL_4127412|2021-04-23	y	85	hCoV-19/Japan/TKYmbc37771/2023|EPI_ISL_17780155|2023-05-17	y	27	12	12	1
RECOMB_1_5_hCoV-19/India/MH-IGIB-Sample210/2021|EPI_ISL_4127412|2021-04-23_hCoV-19/Japan/TKYmbc37771/2023|EPI_ISL_17780155|2023-05-17_X0	(0,210)	(12946,15714)	hCoV-19/India/MH-IGIB-Sample210/2021|EPI_ISL_4127412|2021-04-23	y	85	hCoV-19/Japan/TKYmbc37771/2023|EPI_ISL_17780155|2023-05-17	y	27	12	12	1
RECOMB_1_5_hCoV-19/India/MH-IGIB-Sample210/2021|EPI_ISL_4127412|2021-04-23_hCoV-19/Japan/TKYmbc37771/2023|EPI_ISL_17780155|2023-05-17_X0	(0,210)	(14408,15714)	hCoV-19/India/MH-IGIB-Sample210/2021|EPI_ISL_4127412|2021-04-23	y	85	hCoV-19/Japan/TKYmbc37771/2023|EPI_ISL_17780155|2023-05-17	y	27	12	12	1
RECOMB_1_15_hCoV-19/Vietnam/PIHCM_1085/2022|EPI_ISL_11676450|2022-03-23_hCoV-19/Heilongjiang/HLJCDC-1102/2023|EPI_ISL_17645663|2023-05-03_X0	(14181,22599)	(29254,GENOME_SIZE)	hCoV-19/Heilongjiang/HLJCDC-1102/2023|EPI_ISL_17645663|2023-05-03	y	12	hCoV-19/Vietnam/PIHCM_1085/2022|EPI_ISL_11676450|2022-03-23	y	26	9	9	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(10029,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(10449,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(10447,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(10198,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(9534,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(9424,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(9344,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_0_hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10_hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03_X0	(0,897)	(8393,11042)	hCoV-19/India/AS-DIB-781/2024|EPI_ISL_19266269|2024-05-10	y	65	hCoV-19/Tianjin/TJCDC-0961/2022|EPI_ISL_16922430|2022-07-03	y	11	10	10	1
RECOMB_1_13_hCoV-19/India/WB-1931503364369/2022|EPI_ISL_17349752|2022-10-14_hCoV-19/Chile/ML-66348/2021|EPI_ISL_1470534|2021-03-28_X0	(0,405)	(24469,24642)	hCoV-19/India/WB-1931503364369/2022|EPI_ISL_17349752|2022-10-14	y	25	hCoV-19/Chile/ML-66348/2021|EPI_ISL_1470534|2021-03-28	y	77	11	11	1
RECOMB_1_18_hCoV-19/env/India/MH-NCL-138-06/2024|EPI_ISL_19212672|2024-02-06_hCoV-19/Austria/CeMM3002/2021|EPI_ISL_11229477|2021-01-05_X0	(241,241)	(18492,20268)	hCoV-19/env/India/MH-NCL-138-06/2024|EPI_ISL_19212672|2024-02-06	y	12	hCoV-19/Austria/CeMM3002/2021|EPI_ISL_11229477|2021-01-05	y	35	12	12	1
